title,company,location,salary,job_type,description,posted_date
URGENT REQUIREMENT FOR FRESHERS AND EXPERIENCED CANDIDATES,Not mentioned,"Chennai - Mylapore, Chengalpattu, Kodambakkam, Pallavaram + 1 more","18,000 - 30,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 03:52 PM"
WANTED OFFICE ASSISTANT,Not mentioned,Chennai - Chengalpattu - Thiruporur Road,"18,000 - 25,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","21 Apr 2025, 03:52 PM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Chennai - George Town,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 03:42 PM"
URGENT HIREING OFFICE ASSISTANT JOBS,HONDA MOTORS INDIA PRIVATE LIMITED,"Ahmedabad - India Colony, Sardar Patel Colony, University Area, Satellite + 1 more","18,500 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","21 Apr 2025, 12:09 PM"
Office Assistant/Helper,Honda motor,"Ahmedabad - Airport, Bagodara, University Area, Science City + 1 more","18,500 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","21 Apr 2025, 12:05 PM"
OFFICE WORK ONLY,Not mentioned,Chennai - Anna Nagar,"25,000 - 40,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Pantry Boy","21 Apr 2025, 11:38 AM"
Part Time Full Time Experience and Fresher job in Lucknow for Office Assistant Helper,Not mentioned,"Lucknow - Sharda Nagar, Bangla Bazar, Chhota Bharwara, Durgapuri + 1 more","25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","21 Apr 2025, 10:50 AM"
Female personal secretary for the Managing Director,Not mentioned,"Delhi - Rohini, Dwarka, AIIMS, Lajpat Nagar + 1 more","55,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 10:35 AM"
URGENT REQUIREMENT JOB VACANCY,Not mentioned,Chennai - Adambakkam,"17,500 - 28,500",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 10:35 AM"
PERMANENT JOB OPENINGS,Not mentioned,Chennai - Aminjikarai,"18,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 10:20 AM"
ASSISTANT SUPERVISOR/ Company Staff,Not mentioned,Dehradun - Haridwar Road,"16,000 - 25,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","21 Apr 2025, 01:09 AM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Madurai - Jaihindpuram,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"20 Apr 2025, 11:27 PM"
Bsc agriculture,Not mentioned,Delhi - Kishangarh,"22,000 - 23,000",Full Time Jobs,Office Assistant/Helper,"20 Apr 2025, 04:34 PM"
INVITING FOR ONLINE APPLICATION FOR OFFICE ASSISTANCE AND SUPPORTERS,Not mentioned,Rourkela - Full City,"13,795 - 14,545",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry Boy, Inventory Incharge, Front desk","20 Apr 2025, 12:38 PM"
Helper for sales,Not mentioned,Jammu - Narwal,"12,000 - 13,000",Full Time Jobs,Office Assistant/Helper,"20 Apr 2025, 12:16 PM"
Kitchen helper,CREADORA INDIA PRIVATE LTD,"Bangalore - Langford Road, Shanthi Nagar","10,000 - 15,000",Full Time Jobs,Office Assistant/Helper - Pantry-Boy,"20 Apr 2025, 05:25 AM"
OFFICE WORK DONE FOR PART TIME OR FULL TIME,Not mentioned,Salem - Arisipalayam,"25,000 - 36,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 08:43 PM"
hiring office assistant job vacancy in Chennai Guindy accomodation available,Not mentioned,"Pondicherry - Ariyankuppam, Annamalai Nagar, Anna Nagar, Ashok Nagar + 1 more","17,000 - 38,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 01:59 PM"
Office Assistant - Upto 15000,Not mentioned,"Hyderabad - Amberpet, Bala Nagar, Bowenpally, Choutuppal + 1 more","5,000 - 12,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","19 Apr 2025, 01:44 PM"
WANTED OFFICE ASSISTANT,Not mentioned,Coimbatore - Arts College Road,"25,000 - 40,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 10:54 AM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Tirunelveli - Udaya Nagar,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 10:17 AM"
WANTED OFFICE ASSISTANT,Not mentioned,Chennai - Gowrivakkam,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 08:43 AM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Cuddalore - Manjakuppam,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"19 Apr 2025, 08:38 AM"
Office Assistant Female,R K ENTERPRISES,Kolkata - Central Avenue,"8,000 - 10,000",Full Time Jobs,Office Assistant/Helper - Clerk,"19 Apr 2025, 07:32 AM"
